Unnamed: 0,Username,Link,Text,Human,Date
,ridone_337,https://www.tiktok.com/@ridone_337,saya beli parfum side effect saking enak nya di pake pengharum kamar,Positif,2024-02-25
,dagosputrabenawas,https://www.tiktok.com/@dagosputrabenawas,tahan nya dua hari saya sudah beli ka maka nya saya berani bilang gitu,Positif,2024-02-25
,athar_alenxi,https://www.tiktok.com/@athar_alenxi,buat olahraga makai varian apa ka?,Netral,2024-02-25
,gustut85,https://www.tiktok.com/@gustut85,"yakin ga wangi nya tahan dua belas jam,kalau gak berani kasih Garansi gak?",Negatif,2024-02-25
,jodohmu2959,https://www.tiktok.com/@jodohmu2959,pernah make punya temen. Emang enak banget harum nya aku yang lumayan bau badan langsung wangi seketika,Positif,2024-02-25
,njr1301,https://www.tiktok.com/@njr1301,aku udah pernah beli yang proplayer wangi nya ga tahan lama cuma tiga sampai empat jam,Negatif,2024-02-25
,ujokpranata,https://www.tiktok.com/@ujokpranata,jelek kualitas nya kalau pake baju putih bernoda pake parfum ini,Negatif,2024-02-25
,ajrebellica543,https://www.tiktok.com/@ajrebellica543,Wangi nya biasa aja sih sebenar nya,Positif,2024-02-25
,muhammadyasirsira,https://www.tiktok.com/@muhammadyasirsira,untuk beraktivitas yang cocok pake yang mana ka?,Netral,2024-02-25
,gohan_181,https://www.tiktok.com/@gohan_181,yang asli gak nih ka,Netral,2024-02-25
,bhimzueb,https://www.tiktok.com/@bhimzueb,kakak nya juga lebih tahan lama di hati aku,Positif,2024-02-24
,hilmiganteng935,https://www.tiktok.com/@hilmiganteng935,kak yang bisa menenarik cewek pake parfum apa kak hrny atau dominant,Netral,2024-02-24
,bhalink22_,https://www.tiktok.com/@bhalink22_,percobaan pertama yang cocok beli yang mana ka,Netral,2024-02-24
,lennoelfriets,https://www.tiktok.com/@lennoelfriets,Parah kalau di semprot ke baju putih jadi kuning ,Negatif,2024-02-24
,ekvannata,https://www.tiktok.com/@ekvannata,berapa harga nya ka? ,Netral,2024-02-24
,scorpioboy669,https://www.tiktok.com/@scorpioboy669,pake alkohol ga?,Netral,2024-02-24
,mnc_petshop,https://www.tiktok.com/@mnc_petshop,gak jadi beli karena model nya jelek,Negatif,2024-02-24
,bhmasprojeck,https://www.tiktok.com/@bhmasprojeck,coba botol nya di upgrade ka kaya dominant kan beda dari yang lain,Positif,2024-02-24
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,yah baru mau beli malah abis stok nya,Negatif,2024-02-24
,sokko_bolong17,https://www.tiktok.com/@sokko_bolong17,saran buat aktivitas siang hari dong ka,Netral,2024-02-24
,rayx_3003,https://www.tiktok.com/@rayx_3003,"mantap banget, sangat work it dengan harga segitu",Positif,2024-02-24
,mimin.mintuntilun,https://www.tiktok.com/@mimin.mintuntilun,pengemasan nya buruk banget ga ada pengaman botol nya sama sekali,Negatif,2024-02-24
,khaleed.store,https://www.tiktok.com/@khaleed.store,mantap wangi nya scentplus,Positif,2024-02-24
,keilyyypubgm,https://www.tiktok.com/@keilyyypubgm,saran yang cocok buat cewek apa ka?,Netral,2024-02-24
,gemoystoreofficial.id,https://www.tiktok.com/@gemoystoreofficial.id,"dua sampai tiga jam ilang wangi nya, paling lama lima jam",Negatif,2024-02-24
,nathan15085,https://www.tiktok.com/@nathan15085,yah baru mau beli yang  seratus mili malah kosong,Negatif,2024-02-24
,coleh70,https://www.tiktok.com/@coleh70,mau nanya ka ini untuk kulit atau khusus pakaian?,Netral,2024-02-23
,achad_08,https://www.tiktok.com/@achad_08,"buat ketahanan nya tidak sesuai dengan deskripsi, setiap dua jam sekali harus semprot",Negatif,2024-02-23
,adminsurgawii,https://www.tiktok.com/@adminsurgawii,iya dari wangi nya sesuai sama deskripsi,Positif,2024-02-23
,mas.ardys,https://www.tiktok.com/@mas.ardys,Strong dan bold banget asli mr crush black,Positif,2024-02-23
,bangjo_1928,https://www.tiktok.com/@bangjo_1928,"botol retak, padahal di bubble wrap satu per satu",Negatif,2024-02-23
,husnulkarim_,https://www.tiktok.com/@husnulkarim_,mau nanya dong ka ini parfum nya bisa tahan berapa jam ka?,Netral,2024-02-23
,sutik63,https://www.tiktok.com/@sutik63,rekomendasi dong ka buat cowok wangi soft kerja outdoor tahan lama apa ka?,Netral,2024-02-23
,fikrimalik1,https://www.tiktok.com/@fikrimalik1,aku beli di tokopedia langsung cepet ilang wangi nya,Negatif,2024-02-23
,pangerantersesat1,https://www.tiktok.com/@pangerantersesat1,Bahan botol nya tidak berkualitas tinggi dan mudah rusak,Negatif,2024-02-23
,nama_nya_bagus,https://www.tiktok.com/@nama_nya_bagus,itu berapa ka?,Netral,2024-02-23
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,yah aku beli yang palsu ka,Negatif,2024-02-23
,obengmin03,https://www.tiktok.com/@obengmin03,kemarin beli segel rusak,Negatif,2024-02-23
,idthebest,https://www.tiktok.com/@idthebest,"kemaren beli salah toko, jadi dapet yang palsu",Negatif,2024-02-23
,lumra18,https://www.tiktok.com/@lumra18,belum percaya aku kalau ada parfum tahan nya dua belas jam,Negatif,2024-02-22
,bonev.fac66,https://www.tiktok.com/@bonev.fac66,"aku mau tanya dong ka,scentplus yang di lazada itu,asli scentplus ?",Netral,2024-02-22
,atang_mr,https://www.tiktok.com/@atang_mr,yah kalau yang asli mungkin. iklan yang asli di kirim yang palsu,Negatif,2024-02-22
,pujokipszz,https://www.tiktok.com/@pujokipszz,cek harga ka,Netral,2024-02-22
,owner_szihuka,https://www.tiktok.com/@owner_szihuka,rekomendasi dong ka parfum yang wangi nya mirip sama minyak wangi Casablanca apa ka,Netral,2024-02-22
,konco5067,https://www.tiktok.com/@konco5067,Yah ga bisa beli karena masih belum ada dominant tiga puluh lima mili,Negatif,2024-02-22
,pecintaalam298,https://www.tiktok.com/@pecintaalam298,aku beli di sini wangi nya cuma tahan satu jam,Negatif,2024-02-22
,ariees_2403,https://www.tiktok.com/@ariees_2403,Botol parfum dominant memiliki desain yang mewah,Positif,2024-02-22
,aturanakmuiya,https://www.tiktok.com/@aturanakmuiya,untuk ketahanan dominant kalah telak lawan hrny premium dan side effect,Positif,2024-02-22
,raihangalih,https://www.tiktok.com/@raihangalih,saran varian yang seratus mili dong ka,Netral,2024-02-22
,teponkae,https://www.tiktok.com/@teponkae,"Jujur untuk aroma, saya suka banget sama yang dominant",Positif,2024-02-22
,aarohman_13,https://www.tiktok.com/@aarohman_13,rekomendasi varian yang mana ka,Netral,2024-02-22
,ridho.roman.syah,https://www.tiktok.com/@ridho.roman.syah,kak parfum dominant itu buat di luar ruangan atau di dalam ruangan kak?,Netral,2024-02-22
,viaamanda28,https://www.tiktok.com/@viaamanda28,aku udah beli tapi lebih enak side effect kak kalau dominan kurang sih menurut aku,Positif,2024-02-21
,stefanly16,https://www.tiktok.com/@stefanly16,ini asli gak ka aku udah beli beberapa kali di online tapi hasil nya tetap mengecewakan,Negatif,2024-02-21
,bosmaphack,https://www.tiktok.com/@bosmaphack,"aku pake itu malah sakit kepala,terlalu kuat aroma nya",Negatif,2024-02-21
,bangsaman_32,https://www.tiktok.com/@bangsaman_32,mahal banget harga nya,Negatif,2024-02-21
,daengmusji,https://www.tiktok.com/@daengmusji,pengiriman ke jakarta berapa lama ka,Netral,2024-02-21
,selatan_nkri,https://www.tiktok.com/@selatan_nkri,"aku beli di sini kata nya official resmi, ternyata wangi nya emang gak tahan lama paling lama satu jam",Negatif,2024-02-21
,hibernationnn,https://www.tiktok.com/@hibernationnn,tiga sampai empat jam doang ini taha nnya. Extrait itu cuma gimmick. Masa side effect sama dominant lebih tahan lama side effect,Negatif,2024-02-21
,pesawat_kertas0,https://www.tiktok.com/@pesawat_kertas0,"kalau di aplikasi oren apa nama toko nya ka,tolong di jawab ka",Netral,2024-02-21
,yeremia.yusuf.pra,https://www.tiktok.com/@yeremia.yusuf.pra,mau nanya ka yang ukuran tiga puluh lima mili kosong ya kak,Netral,2024-02-21
,etkfd0384638,https://www.tiktok.com/@etkfd0384638,mengecewakan gak bisa cod,Negatif,2024-02-21
,bsdru12,https://www.tiktok.com/@bsdru12,benerin dong itu tutup botol nya jelek banget kualitas nya gampang lepas,Negatif,2024-02-21
,fansbjorka00,https://www.tiktok.com/@fansbjorka00,aku udah beli emang sewangi itu,Positif,2024-02-21
,hafidz_indonesia,https://www.tiktok.com/@hafidz_indonesia,aku beli gak tahan lama,Negatif,2024-02-21
,vjar_raditia07,https://www.tiktok.com/@vjar_raditia07,buat anak sekolah upacara yang mana ka,Netral,2024-02-21
,rapaatr,https://www.tiktok.com/@rapaatr,rekomendasi buat pelajar kak,Netral,2024-02-20
,boycrzy5,https://www.tiktok.com/@boycrzy5,Parfum aneh wangi apaan kaya cat tembok bikin mual mual mencium aroma nya,Positif,2024-02-20
,ath_hms.mmofc,https://www.tiktok.com/@ath_hms.mmofc,saran buat motoran ka,Netral,2024-02-20
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,"Botol parfum nya keras di pencet
",Negatif,2024-02-20
,beutikcilikvoices,https://www.tiktok.com/@beutikcilikvoices,dominant cocok ga ka buat outdor?,Netral,2024-02-20
,adityfch,https://www.tiktok.com/@adityfch,yah salah beli aku yang kerja di outdoor tapi malah beli side effect,Negatif,2024-02-20
,dwiezt,https://www.tiktok.com/@dwiezt,Parah admin nya mau nanya ga di jawab jawab,Negatif,2024-02-20
,awanhamesa2823,https://www.tiktok.com/@awanhamesa2823,stok dominant yang tiga puluh lima mili selalu ga ada,Negatif,2024-02-20
,rizkyp720,https://www.tiktok.com/@rizkyp720,saran parfum buat anak sekolah yang cocok apa kak,Netral,2024-02-20
,pelautpurapura27,https://www.tiktok.com/@pelautpurapura27,palsu yang aku terima,Negatif,2024-02-20
,trabasae,https://www.tiktok.com/@trabasae,rekomendasi yang buat cewe kalau di pakai siang hari buat sekolah tidak mual apa kak?,Netral,2024-02-20
,pecinta.mamahmuda,https://www.tiktok.com/@pecinta.mamahmuda,"minta rekomendasi yang bau nya tidak mencolok dan tidak bikin mual, kak",Netral,2024-02-20
,user6921565658614,https://www.tiktok.com/@user6921565658614,aku sudah beli wanggi nya biasa aja ,Negatif,2024-02-20
,indraaditama111,https://www.tiktok.com/@indraaditama111,emang sewangi itu dominant,Positif,2024-02-19
,hawk230891,https://www.tiktok.com/@hawk230891,varian scentplus yang cocok buat outdoor apa ka,Netral,2024-02-19
,raskamoonfietra_,https://www.tiktok.com/@raskamoonfietra_,bubble nya kurang tebel jadi pecah botol nya,Negatif,2024-02-19
,winwen23,https://www.tiktok.com/@winwen23,mahal banget mbak,Negatif,2024-02-19
,danxdam,https://www.tiktok.com/@danxdam,wangi kalem yang mana ka,Netral,2024-02-19
,ayhie12,https://www.tiktok.com/@ayhie12,"tetap wangi DOMINANT yang jadi andala aku, kayak ada manis manis nya gitu",Positif,2024-02-19
,link.010,https://www.tiktok.com/@link.010,parfum scentplus yang cocok buat anak sekolah apa kak,Netral,2024-02-19
,mukliskecipungkup,https://www.tiktok.com/@mukliskecipungkup,"pro player aku kok beda bau nya ka sama punya temen aku,, enakan punya dia padahal sama sama beli di official scentplus",Positif,2024-02-19
,clarkkentpaat,https://www.tiktok.com/@clarkkentpaat,ga sampai satu jam wangi nya udah ilang,Negatif,2024-02-19
,kaitam86,https://www.tiktok.com/@kaitam86,saran aroma vanila buat anak sekolah kak,Netral,2024-02-19
,adiyatmanr,https://www.tiktok.com/@adiyatmanr,Dari dulu makai dominant gak pernah kecewa,Negatif,2024-02-19
,azwardi2,https://www.tiktok.com/@azwardi2,"aku baru datang barang nya, sekali coba langsung ketagihan",Positif,2024-02-19
,entahseiapakamu,https://www.tiktok.com/@entahseiapakamu,emang bener sih dominant ini bikin pasangan nyaman terus,Positif,2024-02-19
,bungtama10,https://www.tiktok.com/@bungtama10,bikin baju kuning gak ka,Netral,2024-02-19
,achongboombers,https://www.tiktok.com/@achongboombers,dominant cocok buat sekolah gak kak,Netral,2024-02-19
,inoy_tt,https://www.tiktok.com/@inoy_tt,kotak pengiriman nya di ganti dong kak tipes banget kotak nya,Negatif,2024-02-19
,ham_adjza19,https://www.tiktok.com/@ham_adjza19,saran yang wangi kaya abis mandi buat anak sekolah dong kak,Netral,2024-02-19
,fajarshodiqqq,https://www.tiktok.com/@fajarshodiqqq,yang seratus mili berapa harga nya ka,Netral,2024-02-19
,arifcleaner7,https://www.tiktok.com/@arifcleaner7,yang pasti nya pakai dominant bikin pasangan makin nyaman aku udah buktiin,Positif,2024-02-18
,armhx0,https://www.tiktok.com/@armhx0,mau nanya ka ada yang wangi vanila tidak? ,Netral,2024-02-18
,maribeliapaaja,https://www.tiktok.com/@maribeliapaaja,mau dong parfum lokal terenak ini kak,Positif,2024-02-18
